image,algorithm,amis,ars,time (s)
DC,"MiniBatch
KMeans",0.011581694402125123,0.000937324894661028,0.034682273864746094
DC,MeanShift,0.0,0.0,16.964518785476685
DC,Ward,0.010621796149958368,0.0002729941927365729,28.504379987716675
DC,"Agglomerative
Clustering",0.005287099236483389,-0.0014993120085396905,26.892262935638428
DC,DBSCAN,0.0,0.0,0.7934648990631104
DC,HDBSCAN,0.016556766204025755,0.009373189028726405,40.379908084869385
DC,BIRCH,0.010621796149958368,0.0002729941927365729,26.62866497039795
DC,"Gaussian
Mixture",0.011827515503127979,0.0021309386979176765,21.47493004798889
Polymer,"MiniBatch
KMeans",0.0,0.0,0.0863640308380127
Polymer,MeanShift,1.0,1.0,41.97238111495972
Polymer,Ward,0.0,0.0,130.17577815055847
Polymer,"Agglomerative
Clustering",0.0,0.0,129.5947539806366
Polymer,DBSCAN,0.0,0.0,21.9880051612854
Polymer,HDBSCAN,0.0,0.0,383.3690218925476
Polymer,BIRCH,0.0,0.0,0.48914623260498047
Polymer,"Gaussian
Mixture",0.0,0.0,72.14322781562805
