Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearDiscriminantAnalysis,0.6755053507728894,0.6731401096636518,,0.6837066316148095,0.6554818153381348
XGBClassifier,0.8236623067776456,0.64788128893936,,0.8179628776921278,17.47693705558777
ExtraTreesClassifier,0.8086801426872771,0.6353979896700133,,0.7948737080126482,1.8510279655456543
RandomForestClassifier,0.8036860879904875,0.6170821986745958,,0.7902614802279493,8.644482135772705
LabelPropagation,0.6903686087990487,0.6101205895379126,,0.6905198304633019,3.0177059173583984
LabelSpreading,0.690487514863258,0.6089245584611332,,0.6906817139454565,13.768556833267212
LinearSVC,0.7642092746730084,0.5994516818515832,,0.7526084764409984,6.601449966430664
KNeighborsClassifier,0.724256837098692,0.567657478372393,,0.714225635077067,0.2985401153564453
BaggingClassifier,0.7741973840665874,0.5607120346658464,,0.7599396477068707,16.482223749160767
DecisionTreeClassifier,0.677526753864447,0.5507702051725643,,0.6778229515987444,2.0997257232666016
LogisticRegression,0.7468489892984542,0.54437954407144,,0.7368222876570576,4.319362163543701
CalibratedClassifierCV,0.7589774078478002,0.5305157178990502,,0.7427609762217858,23.19145703315735
ExtraTreeClassifier,0.6455410225921522,0.5140696664658617,,0.6466286563838195,0.06858420372009277
GaussianNB,0.3057074910820452,0.5067408435363644,,0.28737849044141534,0.119354248046875
NearestCentroid,0.2562425683709869,0.4662409133786002,,0.24794229026498754,0.17158985137939453
Perceptron,0.675743162901308,0.4652045534451729,,0.6701983596470762,1.0711920261383057
SVC,0.7442330558858502,0.46386122977347083,,0.7143007996709232,18.309740781784058
BernoulliNB,0.26444708680142687,0.43884059394697117,,0.2187168210447818,0.12625408172607422
PassiveAggressiveClassifier,0.6699167657550535,0.42508944021343337,,0.637240604548376,1.650179147720337
LGBMClassifier,0.519500594530321,0.37958883281838063,,0.5385382787354738,21.070425033569336
SGDClassifier,0.6661117717003567,0.33304540255282444,,0.6391933954981602,7.706853151321411
QuadraticDiscriminantAnalysis,0.613436385255648,0.2807088605537759,,0.587412236650935,1.7030971050262451
RidgeClassifier,0.6582639714625446,0.24874132194007292,,0.601450511984825,0.13687515258789062
RidgeClassifierCV,0.6582639714625446,0.24874132194007292,,0.601450511984825,0.8311080932617188
AdaBoostClassifier,0.47776456599286565,0.11051457924762514,,0.42573750462980525,8.925546884536743
DummyClassifier,0.5126040428061831,0.058823529411764705,,0.34743118128094574,0.05167102813720703
